energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,trackID,artistGenres,artistPopularity,artist,trackName,trackPopularity,wrapped
0.506,0.124,112.97,0.144,0.617,0.0197,4,0.631,5,191595,-7.282,0.335,0,audio_features,spotify:track:76I1mEj3vKHgwwO43MdNpI,76I1mEj3vKHgwwO43MdNpI,"['channel islands indie', 'vapor soul']",72,Mura Masa,Love For That,49,1.0
0.821,0.168,130.073,0.268,0.00112,0.0,4,0.766,1,188013,-6.124,0.299,1,audio_features,spotify:track:722tgOgdIbNe3BEyLnejw4,722tgOgdIbNe3BEyLnejw4,"['chicago rap', 'rap']",95,Kanye West,Black Skinhead,77,1.0
0.619,0.109,138.017,0.0289,0.0941,3.31e-06,4,0.485,5,242373,-7.115,0.416,0,audio_features,spotify:track:1mea3bSkSGXuIRvnydlB5b,1mea3bSkSGXuIRvnydlB5b,"['permanent wave', 'pop']",93,Coldplay,Viva La Vida,80,1.0
0.504,0.698,98.12,0.0319,0.496,4.73e-06,4,0.618,11,276787,-9.328,0.58,0,audio_features,spotify:track:2sLS4tVaEoMYrNS67PVz0V,2sLS4tVaEoMYrNS67PVz0V,"['pop', 'pop rock']",93,Maroon 5,She Will Be Loved - Acoustic,73,1.0
0.754,0.113,96.186,0.189,0.0596,0.0,4,0.625,7,305067,-6.993,0.357,1,audio_features,spotify:track:46OFHBw45fNi7QNjSetITR,46OFHBw45fNi7QNjSetITR,"['chicago rap', 'rap']",95,Kanye West,Hey Mama,63,1.0
0.114,0.119,141.839,0.0453,0.906,0.96,4,0.333,9,165160,-21.255,0.0566,1,audio_features,spotify:track:4jNQkWhuzqrbqQuqanFFJ6,4jNQkWhuzqrbqQuqanFFJ6,[],53,Maxence Cyrin,Where Is My Mind,62,1.0
0.733,0.16,137.904,0.129,0.676,7.06e-05,4,0.661,8,231467,-5.345,0.556,1,audio_features,spotify:track:2MMFpdctgwEkUlfP3kyPDG,2MMFpdctgwEkUlfP3kyPDG,"['electropop', 'gauze pop', 'indie r&b', 'indietronica']",59,Låpsley,Hurt Me,55,1.0
0.412,0.134,113.049,0.344,0.615,0.0025,5,0.6,8,225882,-9.343,0.408,1,audio_features,spotify:track:6ZSO7kPn8IMJFymyticbJO,6ZSO7kPn8IMJFymyticbJO,"['dance pop', 'electropop', 'indie electropop', 'indie poptimism', 'indietronica', 'pop', 'post-teen pop']",71,Kiiara,Gold,71,1.0
0.435,0.292,133.769,0.123,0.132,0.00678,4,0.698,8,274360,-8.013,0.4,1,audio_features,spotify:track:2Jeh872xwy19kZWTh0W3cp,2Jeh872xwy19kZWTh0W3cp,"['chicago rap', 'rap']",95,Kanye West,RoboCop,0,1.0
0.263,0.127,76.379,0.0567,0.844,5.36e-06,4,0.593,4,238520,-14.029,0.109,0,audio_features,spotify:track:2cbic3TiUENlJX91y67ARR,2cbic3TiUENlJX91y67ARR,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'slow core']",79,Bon Iver,Skinny Love,72,1.0
0.991,0.0968,138.975,0.318,0.000155,0.0477,4,0.314,5,298533,-3.867,0.0395,0,audio_features,spotify:track:1f2nJKg780VxYIveVq6Xej,1f2nJKg780VxYIveVq6Xej,"['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",70,Slayer,South Of Heaven,58,1.0
0.666,0.113,149.445,0.0471,0.145,0.0,4,0.365,1,229147,-2.821,0.311,1,audio_features,spotify:track:3sNVsP50132BTNlImLx70i,3sNVsP50132BTNlImLx70i,"['chicago rap', 'rap']",95,Kanye West,Bound 2,72,1.0
0.331,0.146,143.974,0.0725,0.337,0.283,4,0.722,8,313547,-7.789,0.102,1,audio_features,spotify:track:7EiZI6JVHllARrX9PUvAdX,7EiZI6JVHllARrX9PUvAdX,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",90,Future,Low Life,77,1.0
0.878,0.334,102.848,0.15,0.0461,0.0,4,0.834,8,258688,-9.484,0.418,1,audio_features,spotify:track:6KIKRz9eSTXdNsGUnomdtW,6KIKRz9eSTXdNsGUnomdtW,"['conscious hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",70,N.W.A.,Straight Outta Compton,71,1.0
0.995,0.153,90.199,0.16,0.0001,0.418,4,0.279,1,291440,-4.381,0.0972,1,audio_features,spotify:track:61dTqhd46yMkSWmC5LAh5F,61dTqhd46yMkSWmC5LAh5F,"['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",70,Slayer,Angel Of Death,59,1.0
0.242,0.713,135.152,0.0561,0.917,0.0,4,0.475,2,332133,-9.896,0.211,1,audio_features,spotify:track:0qSSbcZ2bvjJuB3Wy5lzK5,0qSSbcZ2bvjJuB3Wy5lzK5,"['neo mellow', 'pop']",76,Birdy,The a Team - Live at the Tabernacle,51,1.0
0.803,0.176,142.135,0.0738,0.0796,1.71e-05,4,0.541,1,299613,-3.284,0.221,1,audio_features,spotify:track:22L7bfCiAkJo5xGSQgmiIO,22L7bfCiAkJo5xGSQgmiIO,"['chicago rap', 'rap']",95,Kanye West,All Of The Lights,77,1.0
0.378,0.172,91.883,0.065,0.618,0.0,4,0.515,5,201000,-8.264,0.536,1,audio_features,spotify:track:7oAraczbemGSNWqnbkU87R,7oAraczbemGSNWqnbkU87R,"['pop', 'uk pop']",92,Sam Smith,Too Good At Goodbyes,21,1.0
0.319,0.111,107.984,0.0337,0.251,0.0242,4,0.73,10,255508,-10.885,0.192,1,audio_features,spotify:track:6iOIeszBKunjPyBfGSwDax,6iOIeszBKunjPyBfGSwDax,['indie poptimism'],42,Ofelia K,Bad Boys,24,1.0
0.806,0.121,119.001,0.0786,0.12,1.33e-06,4,0.851,4,237200,-4.618,0.776,1,audio_features,spotify:track:0WfKDYeUAoLA3vdvLKKWMW,0WfKDYeUAoLA3vdvLKKWMW,"['dance pop', 'pop']",89,Lady Gaga,Poker Face,71,1.0
0.229,0.1,75.67,0.128,0.92,0.0,4,0.587,10,171728,-11.254,0.379,0,audio_features,spotify:track:6Kkt27YmFyIFrcX3QXFi2o,6Kkt27YmFyIFrcX3QXFi2o,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",80,Lorde,Liability,73,1.0
0.457,0.15,149.62,0.0462,0.955,0.918,4,0.233,8,226875,-11.996,0.0581,0,audio_features,spotify:track:14AXR1G009YhkAESBdhdtC,14AXR1G009YhkAESBdhdtC,['classify'],53,Niko Kotoulas,False Alarm - Piano Arrangement,9,1.0
0.42,0.0612,113.962,0.0638,0.386,0.0,4,0.723,8,176347,-6.824,0.465,1,audio_features,spotify:track:6AeQlMyRzvSl1nkFztZyKl,6AeQlMyRzvSl1nkFztZyKl,"['dance pop', 'electropop', 'pop', 'post-teen pop']",86,Julia Michaels,Issues,59,1.0
0.59,0.096,150.189,0.0708,0.166,1.09e-05,4,0.579,1,256093,-4.322,0.361,1,audio_features,spotify:track:4cAgkb0ifwn0FSHGXnr4F6,4cAgkb0ifwn0FSHGXnr4F6,"['chicago rap', 'rap']",95,Kanye West,New Slaves,65,1.0
0.348,0.055,156.104,0.209,0.55,0.00313,4,0.622,10,248225,-8.714,0.648,1,audio_features,spotify:track:1RyyrsnBTHzYJ8A9jmybBX,1RyyrsnBTHzYJ8A9jmybBX,['alternative r&b'],64,Francis and the Lights,It's Alright 2 Cry,39,1.0
0.676,0.189,173.998,0.0744,0.0324,3.62e-05,4,0.518,8,220307,-6.373,0.197,0,audio_features,spotify:track:4oeaIftdpT3JuZLcCkKmVE,4oeaIftdpT3JuZLcCkKmVE,"['canadian contemporary r&b', 'canadian pop', 'pop']",95,The Weeknd,False Alarm,71,1.0
0.915,0.744,153.998,0.113,0.0162,0.0,4,0.543,0,292093,-4.746,0.577,0,audio_features,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,2gZUPNdnz5Y45eiGxpHGSc,"['chicago rap', 'rap']",95,Kanye West,POWER,80,1.0
0.141,0.112,131.234,0.0453,0.919,0.903,4,0.177,6,317000,-16.333,0.0399,1,audio_features,spotify:track:1x9mP6x7YvKeduQmP3v045,1x9mP6x7YvKeduQmP3v045,"['compositional ambient', 'focus', 'soundtrack']",77,Max Richter,II. Mrs Dalloway: In The Garden,38,1.0
0.588,0.137,186.005,0.276,0.141,6.35e-06,4,0.678,7,230453,-7.015,0.486,1,audio_features,spotify:track:7MXVkk9YMctZqd1Srtv4MB,7MXVkk9YMctZqd1Srtv4MB,"['canadian contemporary r&b', 'canadian pop', 'pop']",95,The Weeknd,Starboy,86,1.0
0.721,0.0879,128.942,0.0957,0.0209,8.55e-06,4,0.594,2,234653,-7.812,0.253,1,audio_features,spotify:track:6ie2Bw3xLj2JcGowOlcMhb,6ie2Bw3xLj2JcGowOlcMhb,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",80,Lorde,Green Light,75,1.0
0.78,0.13,125.999,0.122,0.224,0.0,4,0.469,10,233061,-6.49,0.444,0,audio_features,spotify:track:1YmF9PvLhIISIANoMLIYGq,1YmF9PvLhIISIANoMLIYGq,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",88,A$AP Rocky,A$AP Forever,70,1.0
0.831,0.118,173.948,0.15,0.0168,0.0,4,0.713,1,332301,-4.75,0.584,0,audio_features,spotify:track:1BuZAIO8WZpavWVbbq3Lci,1BuZAIO8WZpavWVbbq3Lci,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,76,1.0
0.353,0.0512,67.924,0.356,0.817,0.0,3,0.499,1,200667,-12.452,0.352,1,audio_features,spotify:track:3dnaUhyD5xmG9znnFwhDzd,3dnaUhyD5xmG9znnFwhDzd,"['adult standards', 'jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",73,Nina Simone,Be My Husband - Live In New York/1965,1,1.0
0.814,0.115,147.065,0.195,0.118,5.3e-06,4,0.422,9,354320,-7.365,0.411,1,audio_features,spotify:track:272Z4tzaSMMcgrZ0R494S2,272Z4tzaSMMcgrZ0R494S2,"['art pop', 'art rock', 'dance rock', 'folk rock', 'permanent wave', 'protopunk', 'rock', 'singer-songwriter']",64,Patti Smith,Gloria: In Excelsis Deo,54,1.0
0.204,0.69,129.504,0.0408,0.966,4.12e-05,4,0.472,9,253907,-13.419,0.296,1,audio_features,spotify:track:7htt7UuxHL5wneOcMWJP5E,7htt7UuxHL5wneOcMWJP5E,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",74,a-ha,Take On Me - MTV Unplugged,65,1.0
0.533,0.134,131.155,0.0426,0.782,0.0142,4,0.437,1,230200,-9.552,0.638,1,audio_features,spotify:track:4JvclO8lNugobD1afavcYS,4JvclO8lNugobD1afavcYS,"['albuquerque indie', 'baroque pop', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'stomp and holler']",65,Beirut,Nantes,63,1.0
0.425,0.1,135.128,0.375,0.328,0.13,4,0.701,7,194088,-10.965,0.562,1,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,2Fxmhks0bxGSBdJ92vM42m,"['electropop', 'pop']",98,Billie Eilish,bad guy,96,1.0
0.537,0.229,113.988,0.0795,0.278,0.0,4,0.783,9,222866,-2.921,0.393,1,audio_features,spotify:track:7n1940b6kHcaEewFSZXnXa,7n1940b6kHcaEewFSZXnXa,"['edm', 'electropop', 'indie poptimism', 'pop', 'tropical house']",74,Louis The Child,Better Not (with Wafia),75,1.0
0.688,0.355,122.48,0.032,0.0199,0.000106,4,0.372,0,297187,-6.759,0.151,1,audio_features,spotify:track:6YO4a8hliYuF9FefolWOLX,6YO4a8hliYuF9FefolWOLX,"['alternative dance', 'alternative rock', 'dance pop', 'electronic rock', 'lilith', 'permanent wave', 'pop rock', 'post-grunge', 'rock']",63,Garbage,Not Your Kind Of People,41,1.0
0.262,0.456,108.381,0.0276,0.313,5.51e-06,4,0.512,0,243000,-16.875,0.357,1,audio_features,spotify:track:7dQC53NiYOY9gKg3Qsu2Bs,7dQC53NiYOY9gKg3Qsu2Bs,"['adult standards', 'mellow gold', 'soft rock']",73,Air Supply,All Out of Love,69,1.0
0.744,0.102,199.837,0.0563,0.677,0.0331,4,0.592,6,226998,-9.197,0.49,1,audio_features,spotify:track:0pF0Ci9E9Xke2clf0l1C61,0pF0Ci9E9Xke2clf0l1C61,['nyc pop'],46,Charlie Brennan,Let Me Be,28,1.0
0.573,0.538,113.088,0.0549,0.118,0.0,4,0.724,7,135920,-4.113,0.438,1,audio_features,spotify:track:4KW1lqgSr8TKrvBII0Brf8,4KW1lqgSr8TKrvBII0Brf8,"['chicago rap', 'rap']",95,Kanye West,Father Stretch My Hands Pt. 1,76,1.0
0.392,0.0948,90.379,0.0267,0.649,0.000227,4,0.534,9,216533,-7.636,0.163,0,audio_features,spotify:track:28cnXtME493VX9NOw9cIUh,28cnXtME493VX9NOw9cIUh,"['arkansas country', 'outlaw country']",81,Johnny Cash,Hurt,77,1.0
0.66,0.11,93.004,0.0229,0.2,0.0279,4,0.611,8,259787,-7.374,0.136,1,audio_features,spotify:track:79HLU1I0pHyHjwxEfCKA7K,79HLU1I0pHyHjwxEfCKA7K,"['chillwave', 'dream pop', 'metropopolis', 'noise pop', 'nu gaze', 'shoegaze']",38,School Of Seven Bells,Open Your Eyes,34,1.0
0.158,0.121,79.833,0.04,0.773,0.0227,4,0.49,9,375933,-18.148,0.0826,1,audio_features,spotify:track:1lo9k4PrxFd5Np4cAxXoKo,1lo9k4PrxFd5Np4cAxXoKo,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",70,Nine Inch Nails,Hurt,60,1.0
0.23,0.107,113.014,0.0361,0.795,0.00856,4,0.754,3,299515,-14.271,0.194,1,audio_features,spotify:track:1KaqSfCImt1391GQFOW8Nk,1KaqSfCImt1391GQFOW8Nk,"['australian electropop', 'transpop']",30,Huntly,Low Grade Buzz,29,1.0
0.209,0.173,92.07,0.0325,0.763,0.0,4,0.584,0,204130,-9.968,0.239,1,audio_features,spotify:track:67sfxK4pD41HJ4FQRkDYo1,67sfxK4pD41HJ4FQRkDYo1,['indie electropop'],50,Lxandra,Hush Hush Baby,44,1.0
0.714,0.122,89.996,0.044,0.000242,0.636,4,0.547,10,373000,-8.628,0.541,0,audio_features,spotify:track:2oDqmfa2g8W893LlwJG1qu,2oDqmfa2g8W893LlwJG1qu,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",70,Nine Inch Nails,Closer,65,1.0
0.173,0.138,79.998,0.039,0.906,0.877,4,0.534,1,168392,-15.786,0.154,0,audio_features,spotify:track:4NBYp73qsxFh9yUUnMy6jz,4NBYp73qsxFh9yUUnMy6jz,"['german soundtrack', 'scorecore', 'soundtrack', 'video game music']",77,Ramin Djawadi,Runaway,52,1.0
0.361,0.112,110.024,0.0403,0.0398,1.46e-05,4,0.838,9,209455,-7.607,0.0397,1,audio_features,spotify:track:4xusvftpAHJk39HFAz0aj3,4xusvftpAHJk39HFAz0aj3,['abstract beats'],54,D33J,Nothing Left,47,1.0
0.522,0.0685,89.96,0.0575,0.533,0.0,4,0.755,2,157560,-4.368,0.925,1,audio_features,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,0RiRZpuVRbi7oqRdSMwhQY,"['dfw rap', 'melodic rap', 'rap']",100,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,88,1.0
0.568,0.512,86.986,0.0703,0.218,0.0021,4,0.571,1,547733,-3.827,0.109,0,audio_features,spotify:track:3DK6m7It6Pw857FcQftMds,3DK6m7It6Pw857FcQftMds,"['chicago rap', 'rap']",95,Kanye West,Runaway,75,1.0
0.467,0.0941,82.081,0.0715,0.248,0.0,4,0.697,9,229413,-7.536,0.572,1,audio_features,spotify:track:3goSVuTt3fDYDP6kRnFwuL,3goSVuTt3fDYDP6kRnFwuL,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",91,Rihanna,Take A Bow,79,1.0
0.796,0.0938,171.017,0.0629,0.00147,0.000209,4,0.513,1,201573,-4.075,0.345,1,audio_features,spotify:track:0sf12qNH5qcw8qpgymFOqD,0sf12qNH5qcw8qpgymFOqD,"['canadian contemporary r&b', 'canadian pop', 'pop']",95,The Weeknd,Blinding Lights,94,0.0
0.681,0.18,113.989,0.111,0.249,0.0,4,0.835,8,202087,-4.357,0.687,1,audio_features,spotify:track:1m4C9zlV89rXTfXStluvec,1m4C9zlV89rXTfXStluvec,"['boy band', 'hip hop', 'rap']",82,BROCKHAMPTON,ZIPPER,65,1.0
0.58,0.096,125.023,0.0457,0.696,0.278,4,0.608,2,234680,-12.897,0.0306,1,audio_features,spotify:track:2Y7pSUrb0frmy9vKVHUlOg,2Y7pSUrb0frmy9vKVHUlOg,"['french indie pop', 'french indietronica', 'new french touch']",65,The Blaze,QUEENS,45,1.0
0.915,0.0845,127.974,0.058,0.0656,0.805,4,0.475,5,197327,-6.55,0.465,1,audio_features,spotify:track:2G2WlObIWQarFpjFISSxMX,2G2WlObIWQarFpjFISSxMX,['shimmer pop'],48,High Highs,A Real Hero - College and Electric Youth Cover,35,1.0
0.0312,0.0731,171.593,0.0746,0.922,0.0,5,0.369,11,208933,-15.628,0.166,0,audio_features,spotify:track:1J3Dx5aJoXl2o4mvZSZZA2,1J3Dx5aJoXl2o4mvZSZZA2,"['adult standards', 'jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",73,Nina Simone,Strange Fruit - Live In New York/1965,0,1.0
0.452,0.726,78.143,0.0738,0.317,5.98e-06,4,0.55,0,166449,-12.666,0.25,1,audio_features,spotify:track:7kpYvT7rc1PstHASHqokXo,7kpYvT7rc1PstHASHqokXo,[],31,Carlton Williams,Prison Song,44,1.0
0.633,0.0926,96.924,0.0597,0.0605,0.000194,4,0.698,8,232187,-4.946,0.552,1,audio_features,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,3GCdLUSnKSMJhs4Tj6CV3s,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",91,Kendrick Lamar,All The Stars (with SZA),80,1.0
0.443,0.162,112.001,0.0349,0.744,0.555,4,0.706,10,267693,-8.422,0.376,1,audio_features,spotify:track:3wQ2F1MjiNMENmvy4xUeXy,3wQ2F1MjiNMENmvy4xUeXy,"['filter house', 'retro electro']",54,Electric Youth,A Real Hero,61,1.0
0.858,0.0968,173.987,0.266,0.7,0.0112,4,0.664,1,193669,-7.496,0.656,1,audio_features,spotify:track:1kYFGeEN51u0SgAVOyUJNI,1kYFGeEN51u0SgAVOyUJNI,"['abstract hip hop', 'escape room', 'ninja', 'scottish hip hop']",53,Young Fathers,Toy,46,1.0
0.403,0.54,105.169,0.414,0.62,0.0,4,0.592,0,320680,-8.768,0.391,0,audio_features,spotify:track:1eQBEelI2NCy7AUTerX0KS,1eQBEelI2NCy7AUTerX0KS,"['chicago rap', 'rap']",95,Kanye West,Ultralight Beam,75,1.0
0.722,0.0931,99.083,0.124,0.162,0.0,4,0.564,1,165627,-5.59,0.276,0,audio_features,spotify:track:1Nj2oBISdFDSF8eDuXcALz,1Nj2oBISdFDSF8eDuXcALz,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']",86,OneRepublic,Start Again (feat. Logic),71,1.0
0.529,0.102,146.735,0.0971,0.638,6.07e-06,4,0.439,11,622000,-13.224,0.705,0,audio_features,spotify:track:5XI9hva1F1WCRSvNNYCK1w,5XI9hva1F1WCRSvNNYCK1w,"['adult standards', 'jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",73,Nina Simone,Sinnerman - Live In New York/1965,11,1.0
0.865,0.234,174.53,0.0381,0.000453,0.0,4,0.372,2,258733,-4.918,0.478,1,audio_features,spotify:track:5wj4E6IsrVtn8IBJQOd0Cl,5wj4E6IsrVtn8IBJQOd0Cl,"['britpop', 'madchester', 'modern rock', 'permanent wave', 'rock']",82,Oasis,Wonderwall - Remastered,73,1.0
0.566,0.34,83.903,0.2,0.349,0.0,4,0.511,6,239836,-7.23,0.218,0,audio_features,spotify:track:0s3nnoMeVWz3989MkNQiRf,0s3nnoMeVWz3989MkNQiRf,"['chicago rap', 'melodic rap']",97,Juice WRLD,Lucid Dreams,19,1.0
0.69,0.101,171.989,0.157,0.396,0.0,4,0.454,2,359800,-4.108,0.37,0,audio_features,spotify:track:42GcjriRK6srwHkfbkBqVl,42GcjriRK6srwHkfbkBqVl,"['chicago rap', 'rap']",95,Kanye West,Blood On The Leaves,68,1.0
0.541,0.13,124.959,0.0505,0.568,0.0,4,0.851,0,235545,-6.825,0.448,1,audio_features,spotify:track:6FRLCMO5TUHTexlWo8ym1W,6FRLCMO5TUHTexlWo8ym1W,"['pop', 'pop rock']",93,Maroon 5,Girls Like You (feat. Cardi B),83,1.0
0.798,0.118,115.068,0.0367,0.000385,0.00614,4,0.578,10,226253,-5.174,0.311,0,audio_features,spotify:track:3d9aUOk1b0muVMSt8eXeiV,3d9aUOk1b0muVMSt8eXeiV,"['alternative dance', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'rock']",77,MGMT,In The Afternoon,59,0.0
0.37,0.587,112.522,0.0301,0.984,0.887,4,0.35,8,172093,-10.104,0.103,1,audio_features,spotify:track:0hRhtFNJBo6fmR8Qyifcak,0hRhtFNJBo6fmR8Qyifcak,"['art pop', 'chamber pop', 'chillwave', 'dance pop', 'dream pop', 'electropop', 'escape room', 'experimental pop', 'freak folk', 'indie pop', 'indie rock', 'indietronica', 'new rave', 'seattle indie', 'singer-songwriter']",62,Perfume Genius,Mr. Peterson,40,0.0
0.619,0.145,88.033,0.0308,0.0619,0.0476,4,0.368,9,207994,-6.633,0.0878,0,audio_features,spotify:track:1j49Jcm99RNCmFrnRZgliG,1j49Jcm99RNCmFrnRZgliG,"['alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'hip hop', 'indietronica', 'intelligent dance music', 'jazztronica', 'wonky']",64,Flying Lotus,Land Of Honey,52,0.0
0.648,0.134,143.955,0.0449,0.0956,0.0,4,0.708,6,201707,-5.626,0.338,1,audio_features,spotify:track:45Egmo7icyopuzJN0oMEdk,45Egmo7icyopuzJN0oMEdk,"['alternative r&b', 'pop']",96,Khalid,Love Lies (with Normani),81,0.0
0.372,0.218,94.166,0.032,0.506,0.176,4,0.787,1,164312,-9.305,0.398,1,audio_features,spotify:track:2eJogHu4qygT1BDhAve9Us,2eJogHu4qygT1BDhAve9Us,['alternative r&b'],64,Francis and the Lights,Like a Dream,40,0.0
0.33,0.0677,157.143,0.0275,0.245,0.000679,3,0.42,9,295600,-13.925,0.175,1,audio_features,spotify:track:1LzNfuep1bnAUR9skqdHCK,1LzNfuep1bnAUR9skqdHCK,"['alternative rock', 'dream pop', 'melancholia', 'singer-songwriter', 'slow core']",65,Mazzy Star,Fade Into You,73,0.0
0.373,0.0927,183.051,0.0447,0.729,3.79e-05,4,0.482,11,289307,-13.427,0.105,0,audio_features,spotify:track:3djK2yDqJArNAzHyhzSf8G,3djK2yDqJArNAzHyhzSf8G,"['gauze pop', 'indie pop', 'indietronica', 'modern rock', 'shiver pop']",75,Glass Animals,Gooey,8,0.0
0.591,0.072,136.028,0.0638,0.414,0.799,4,0.81,8,297775,-13.385,0.297,1,audio_features,spotify:track:2BndJYJQ17UcEeUFJP5JmY,2BndJYJQ17UcEeUFJP5JmY,"['downtempo', 'electronica', 'trip hop']",69,Massive Attack,Paradise Circus,63,0.0
